query_id,iteration,icd11_codes,prevalence,etiqueta,ddx_parsed,match_details
,0,"[""1B10"", ""DB98.3"", ""1C22"", ""1B95"", ""CA40.Z""]","[""N/A"", ""Desconocido"", ""N/A"", ""<1 / 1 000 000"", ""N/A""]","[""unclassified"", ""unknown"", ""unclassified"", ""ultra_rare"", ""common""]",Tuberculosis pulmonar | Fiebre Q | Psitacosis | Brucelosis | Neumonía atípica,"Tuberculosis pulmonar → Tuberculosis pulmonar primaria [semantic, 0.0%] → 1B10 ;; Fiebre Q → Fiebre Q [exact, 100.0%] → DB98.3 ;; Psitacosis → Psitacosis [exact, 100.0%] → 1C22 ;; Brucelosis → Brucelosis [exact, 100.0%] → 1B95 ;; Neumonía atípica → CA40.Z [who_api, 0.0%] → CA40.Z"
,0,"[""DA41.00"", ""1A40.0"", ""DA90.2"", ""DA50.0"", ""DC32.4""]","[""1-5 / 10 000"", ""N/A"", ""N/A"", ""N/A"", ""N/A""]","[""unknown"", ""common"", ""unclassified"", ""common"", ""unclassified""]",Gastroparesia | Gastroenteritis funcional | Pseudo‑obstrucción intestinal | Obstrucción duodenal | Pancreatitis crónica,"Gastroparesia → Gastroparesia idiopática [semantic, 0.0%] → DA41.00 ;; Gastroenteritis funcional → 1A40.0 [who_api, 0.0%] → 1A40.0 ;; Pseudo‑obstrucción intestinal → Pseudoobstrucción intestinal no clasificada [semantic, 0.0%] → DA90.2 ;; Obstrucción duodenal → DA50.0 [who_api, 0.0%] → DA50.0 ;; Pancreatitis crónica → Pancreatitis crónica idiopática [semantic, 0.0%] → DC32.4"
,0,"[""6D70.Z"", ""NR-NEUR-001"", ""8E47"", ""8E47/GB61.Z"", ""8B11""]","[""N/A"", ""N/A"", ""N/A"", ""N/A"", ""N/A""]","[""common"", ""unclassified"", ""common"", ""common"", ""common""]",Delirium multifactorial | Estado postictal | Encefalopatía séptica | Encefalopatía urémica | Accidente cerebrovascular isquémico,"Delirium multifactorial → 6D70.Z [who_api, 0.0%] → 6D70.Z ;; Estado postictal → NR-NEUR-001 [nr, 0.0%] → NR-NEUR-001 ;; Encefalopatía séptica → 8E47 [who_api, 0.0%] → 8E47 ;; Encefalopatía urémica → 8E47/GB61.Z [who_api, 0.0%] → 8E47/GB61.Z ;; Accidente cerebrovascular isquémico → Accidente cerebrovascular isquémico pediátrico [fuzzy_validated_who, 86.4%] → 8B11"
,0,"[""MF85"", ""4A44.AZ"", ""4A40.0"", ""1B1Z"", ""CB04.30""]","[""N/A"", ""N/A"", ""1-5 / 10 000"", ""1-5 / 10 000"", ""Desconocido""]","[""common"", ""common"", ""unknown"", ""unknown"", ""unknown""]",Síndrome de Goodpasture | Vasculitis ANCA asociada | Lupus eritematoso sistémico | Tuberculosis | Hemosiderosis pulmonar idiopática,"Síndrome de Goodpasture → MF85 [who_api, 0.0%] → MF85 ;; Vasculitis ANCA asociada → 4A44.AZ [who_api, 0.0%] → 4A44.AZ ;; Lupus eritematoso sistémico → Lupus eritematoso sistémico [exact, 100.0%] → 4A40.0 ;; Tuberculosis → Tuberculosis [exact_who, 100.0%] → 1B1Z ;; Hemosiderosis pulmonar idiopática → Hemosiderosis pulmonar idiopática [exact, 100.0%] → CB04.30"
,0,"[""1B12.1"", ""9A96.1/FA24.Z"", ""4B20.4"", ""4A62"", ""4A44""]","[""N/A"", ""N/A"", ""N/A"", ""1-9 / 100 000"", ""1-9 / 100 000""]","[""common"", ""common"", ""common"", ""very_rare"", ""very_rare""]",Uveítis tuberculosa | Uveítis asociada a artritis idiopática juvenil | Sarcoidosis ocular | Enfermedad de Behçet | Vasculitis,"Uveítis tuberculosa → 1B12.1 [who_api, 0.0%] → 1B12.1 ;; Uveítis asociada a artritis idiopática juvenil → 9A96.1/FA24.Z [who_api, 0.0%] → 9A96.1/FA24.Z ;; Sarcoidosis ocular → 4B20.4 [who_api, 0.0%] → 4B20.4 ;; Enfermedad de Behçet → Enfermedad de Behçet [exact, 100.0%] → 4A62 ;; Vasculitis → Vasculitis [exact, 100.0%] → 4A44"
,0,"[""5C63.20"", ""NR-OTR-003"", ""GB90.44"", ""5A50.Z"", ""5D2Z""]","[""1-5 / 10 000"", ""N/A"", ""Desconocido"", ""N/A"", ""N/A""]","[""unknown"", ""unclassified"", ""unknown"", ""common"", ""common""]",Requedad por deficiencia de vitamina D | Requedad fosfatasa | Acidosis tubular renal tipo II | Hipoparatiroidismo | Enfermedades metabólicas óseas,"Requedad por deficiencia de vitamina D → Raquitismo hipocalcémico dependiente de vitamina D [semantic, 0.0%] → 5C63.20 ;; Requedad fosfatasa → NR-OTR-003 [nr, 0.0%] → NR-OTR-003 ;; Acidosis tubular renal tipo II → Acidosis tubular renal proximal [semantic, 0.0%] → GB90.44 ;; Hipoparatiroidismo → Hipoparatiroidismo raro [fuzzy_validated_who, 87.8%] → 5A50.Z ;; Enfermedades metabólicas óseas → 5D2Z [who_api, 0.0%] → 5D2Z"
,0,"[""3B65"", ""3A20.5"", ""2A44"", ""2A60"", ""NR-HEMAT-002""]","[""N/A"", ""1-9 / 1 000 000"", ""N/A"", ""1-5 / 10 000"", ""N/A""]","[""common"", ""ultra_rare"", ""common"", ""unknown"", ""unclassified""]",Microangiopatía trombótica | Síndrome de Evans | Enfermedad mielodisplásica | Leucemia mieloide aguda | Síndrome de afémoglobina,"Microangiopatía trombótica → Microangiopatía trombótica [exact_who, 100.0%] → 3B65 ;; Síndrome de Evans → Síndrome de Evans [exact, 100.0%] → 3A20.5 ;; Enfermedad mielodisplásica → 2A44 [who_api, 0.0%] → 2A44 ;; Leucemia mieloide aguda → Leucemia mieloide aguda [exact, 100.0%] → 2A60 ;; Síndrome de afémoglobina → NR-HEMAT-002 [nr, 0.0%] → NR-HEMAT-002"
,0,"[""4A44.5"", ""1C31.0"", ""4A44.92"", ""4A44.4"", ""EA50.2""]","[""Desconocido"", ""Desconocido"", ""Desconocido"", ""1-9 / 100 000"", ""Desconocido""]","[""unknown"", ""unknown"", ""unknown"", ""very_rare"", ""unknown""]",Enfermedad de Kawasaki | Fiebre maculosa de las Montañas Rocosas | Púrpura de Henoch-Schönlein | Poliarteritis nodosa | Síndrome de piel escaldada estafilocócico,"Enfermedad de Kawasaki → Enfermedad de Kawasaki [exact, 100.0%] → 4A44.5 ;; Fiebre maculosa de las Montañas Rocosas → Fiebre maculosa de las Montañas Rocosas [exact, 100.0%] → 1C31.0 ;; Púrpura de Henoch-Schönlein → Vasculitis por inmunoglobulina A [exact, 100.0%] → 4A44.92 ;; Poliarteritis nodosa → Poliarteritis nodosa [exact, 100.0%] → 4A44.4 ;; Síndrome de piel escaldada estafilocócico → Síndrome de la piel escaldada por estafilococos [fuzzy_validated, 86.4%] → EA50.2"
,0,"[""5D00.0"", ""2A83.1"", ""GB40"", ""1F54.2"", ""BD13""]","[""1-9 / 100 000"", ""1-5 / 10 000"", ""Desconocido"", ""1-9 / 1 000 000"", ""N/A""]","[""very_rare"", ""unknown"", ""unknown"", ""ultra_rare"", ""common""]",Amiloidosis AL | Mieloma múltiple | Glomerulonefritis membranosa | Leishmaniasis visceral | Insuficiencia cardíaca derecha,"Amiloidosis AL → Amiloidosis AL [exact, 100.0%] → 5D00.0 ;; Mieloma múltiple → Mieloma múltiple [exact, 100.0%] → 2A83.1 ;; Glomerulonefritis membranosa → Glomerulonefritis membranosa primaria [fuzzy_validated, 86.2%] → GB40 ;; Leishmaniasis visceral → Leishmaniasis [semantic, 0.0%] → 1F54.2 ;; Insuficiencia cardíaca derecha → BD13 [who_api, 0.0%] → BD13"
,0,"[""5A03.1"", ""DB98.3"", ""1F25.1Y"", ""1C11.Z"", ""5A03.0""]","[""N/A"", ""Desconocido"", ""Desconocido"", ""N/A"", ""N/A""]","[""common"", ""unknown"", ""unknown"", ""common"", ""common""]",Tiroiditis subaguda | Fiebre Q | Coccidioidomicosis | Bartonelosis | Tiroiditis infecciosa,"Tiroiditis subaguda → 5A03.1 [who_api, 0.0%] → 5A03.1 ;; Fiebre Q → Fiebre Q [exact, 100.0%] → DB98.3 ;; Coccidioidomicosis → Coccidioidomicosis [exact, 100.0%] → 1F25.1Y ;; Bartonelosis → 1C11.Z [who_api, 0.0%] → 1C11.Z ;; Tiroiditis infecciosa → 5A03.0 [who_api, 0.0%] → 5A03.0"
